"quest_id","created_at","trade_id"
587,"2014-06-18",1
587,"2014-06-14",1
587,"2014-06-13",1
425,"2014-07-05",1
425,"2014-07-09",1
587,"2014-05-27",1
95,"2014-06-08",1
425,"2014-07-14",1
425,"2014-07-17",1
425,"2014-07-20",1
586,"2015-02-10",1
586,"2015-02-03",1
586,"2014-12-06",1
425,"2014-07-25",1
425,"2014-07-26",1
586,"2014-11-27",1
586,"2014-11-06",1
425,"2014-07-30",1
425,"2014-07-31",1
586,"2014-09-14",1
425,"2014-08-07",1
425,"2014-08-10",1
586,"2014-08-12",1
425,"2014-08-13",1
586,"2014-08-08",1
586,"2014-08-06",1
16,"2014-06-16",1
586,"2014-07-17",1
425,"2014-08-24",1
425,"2014-08-25",1
95,"2014-06-11",1
425,"2014-08-27",1
1008,"2014-12-09",1
1008,"2014-10-10",1
425,"2014-08-30",1
425,"2014-09-04",1
425,"2014-09-10",1
1008,"2014-10-09",1
425,"2014-09-14",1
1007,"2015-02-13",1
425,"2014-09-28",1
1007,"2015-02-06",1
425,"2014-10-13",1
425,"2014-10-30",1
586,"2014-06-22",1
586,"2014-06-10",1
586,"2014-06-01",1
1007,"2015-01-23",1
425,"2014-11-17",1
425,"2014-12-07",1
425,"2014-12-09",1
586,"2014-05-27",1
425,"2014-12-14",1
586,"2014-05-13",1
585,"2014-07-24",1
425,"2014-12-30",1
95,"2014-07-25",1
426,"2014-04-03",1
426,"2014-05-27",1
585,"2014-07-16",1
585,"2014-07-10",1
1007,"2014-11-15",1
585,"2014-07-08",1
426,"2014-06-13",1
585,"2014-07-06",1
585,"2014-07-03",1
1007,"2014-11-13",1
426,"2014-07-16",1
585,"2014-06-26",1
426,"2014-07-25",1
585,"2014-06-23",1
426,"2014-08-06",1
585,"2014-06-21",1
426,"2014-08-13",1
426,"2014-08-18",1
426,"2014-09-29",1
426,"2014-10-13",1
426,"2014-10-16",1
426,"2014-11-10",1
426,"2014-11-22",1
426,"2014-12-03",1
95,"2014-08-06",1
426,"2014-12-05",1
1007,"2014-11-07",1
1139,"2015-02-23",1
585,"2014-06-16",1
585,"2014-06-09",1
585,"2014-06-01",1
95,"2014-10-13",1
1139,"2015-02-16",1
426,"2014-12-14",1
426,"2014-12-17",1
427,"2014-04-16",1
427,"2014-05-30",1
427,"2014-06-04",1
427,"2014-06-07",1
96,"2013-12-08",1
1139,"2015-02-13",1
1007,"2014-10-20",1
585,"2014-05-31",1
427,"2014-06-24",1
427,"2014-07-06",1
427,"2014-07-09",1
585,"2014-05-25",1
96,"2014-01-16",1
584,"2015-01-26",1
427,"2014-08-10",1
584,"2015-01-14",1
427,"2014-08-13",1
427,"2014-08-16",1
427,"2014-09-09",1
427,"2014-09-11",1
96,"2014-01-17",1
584,"2015-01-13",1
427,"2015-01-13",1
427,"2015-01-14",1
96,"2014-02-20",1
1139,"2015-02-09",1
1198,"2015-02-12",1
584,"2015-01-08",1
428,"2014-06-04",1
1007,"2014-10-10",1
584,"2014-12-26",1
584,"2014-12-14",1
584,"2014-12-12",1
584,"2014-12-05",1
428,"2014-06-22",1
96,"2014-04-11",1
428,"2014-06-26",1
428,"2014-07-08",1
96,"2014-05-27",1
1007,"2014-10-09",1
428,"2014-07-14",1
1006,"2015-02-08",1
584,"2014-12-04",1
428,"2014-07-23",1
428,"2014-07-25",1
1006,"2015-01-29",1
96,"2014-06-08",1
584,"2014-11-21",1
428,"2014-08-06",1
428,"2014-08-08",1
584,"2014-11-10",1
428,"2014-08-13",1
428,"2014-09-03",1
1006,"2015-01-22",1
584,"2014-09-04",1
428,"2014-11-10",1
