,Q1,,q1,q2,q3,q4,setA,setB,SetN,Active,,,Set A,Set B
318,12,1,T,F,F,F,F,F,T,,N,N,966,974
320,54,1,T,F,F,F,F,F,T,,N,N,977,975
321,218,1,T,F,F,F,T,F,F,,Y,N,978,982
322,11,1,T,F,F,F,F,F,T,,N,N,979,983
326,45,1,T,F,F,F,T,F,F,,Y,N,981,984
327,0,1,T,F,F,F,F,F,T,,N,N,987,986
328,67,1,T,F,F,F,T,F,F,,Y,N,988,1008
330,0,1,T,F,F,F,F,F,T,,N,N,989,1009
332,0,1,T,F,F,F,F,F,T,,N,N,991,1012
333,17,1,T,F,F,F,T,F,F,,Y,N,1004,1013
334,8,1,T,F,F,F,F,T,F,,N,N,1007,1015
336,0,1,T,F,F,F,F,F,T,,N,N,1010,1025
337,4,1,T,F,F,F,F,T,F,,N,N,1011,1027
338,46,1,T,F,F,F,T,F,F,,Y,N,1014,1029
341,18,1,T,F,F,F,F,T,F,,N,N,1016,1031
342,13,1,T,F,F,F,F,T,F,,N,N,1026,1032
343,30,1,T,F,F,F,F,T,F,,N,N,1030,1036
345,14,1,T,F,F,F,T,F,F,,Y,N,1034,1037
346,8,1,T,F,F,F,F,F,T,,N,N,1039,1038
347,15,1,T,F,F,F,T,F,F,,Y,N,1040,1043
349,29,1,T,F,F,F,F,T,F,,N,N,1041,1047
350,0,1,T,F,F,F,F,F,T,,N,N,1042,1051
351,1,1,T,F,F,F,F,F,T,,N,N,1044,1052
352,16,1,T,F,F,F,F,T,F,,N,N,,1056
353,5,1,T,F,F,F,F,F,T,,N,N,,1061
355,33,1,T,F,F,F,T,F,F,,Y,N,,1068
357,16,1,T,F,F,F,T,F,F,,Y,N,,1069
358,46,1,T,F,F,F,T,F,F,,Y,N,,1072
359,12,1,T,F,F,F,F,T,F,,N,N,,1074
360,10,1,T,F,F,F,F,T,F,,N,N,,1075
361,3,1,T,F,F,F,F,T,F,,N,N,,1085
362,0,1,T,F,F,F,F,F,T,,N,N,,1087
363,1,1,T,F,F,F,F,F,T,,N,N,,1089
369,42,1,T,F,F,F,T,F,F,,Y,N,,1092
370,0,1,T,F,F,F,F,T,F,,N,N,,1094
372,10,1,T,F,F,F,F,T,F,,N,N,,1096
374,45,1,T,F,F,F,T,F,F,,Y,N,,1101
375,48,1,T,F,F,F,F,T,F,,N,N,,1109
376,7,1,T,F,F,F,T,F,F,,Y,N,,1111
377,9,1,T,F,F,F,T,F,F,,Y,N,,1113
379,21,1,T,F,F,F,F,F,T,,N,N,,1115
382,85,1,T,F,F,F,F,T,F,,N,N,,1116
384,56,1,T,F,F,F,T,F,F,,Y,N,,1118
386,34,1,T,F,F,F,T,F,F,,Y,N,,1119
387,0,1,T,F,F,F,F,F,T,,N,N,,1126
393,8,1,T,F,F,F,F,T,F,,N,N,,1129
399,9,1,T,F,F,F,F,T,F,,N,N,,1131
400,1,1,T,F,F,F,F,F,T,,N,N,,1136
