,Q1,,q1,q2,q3,q4,setA,setB,SetN,Active,,,Set A,Set B
417,27,2,F,T,F,F,F,T,F,,N,Y,,
418,17,2,F,T,F,F,T,F,F,,N,N,,
419,18,2,F,T,F,F,T,F,F,,N,N,,
420,48,2,F,T,F,F,T,F,F,,N,N,,
421,1,2,F,T,F,F,F,F,T,,N,N,,
422,25,2,F,T,F,F,F,T,F,,N,Y,,
424,0,2,F,T,F,F,F,F,T,,N,N,,
425,16,2,F,T,F,F,T,F,F,,N,N,,
426,21,2,F,T,F,F,F,T,F,,N,Y,,
427,6,2,F,T,F,F,F,F,T,,N,N,,
428,10,2,F,T,F,F,T,F,F,,N,N,,
431,0,2,F,T,F,F,F,F,T,,N,N,,
435,0,2,F,T,F,F,F,F,T,,N,N,,
436,0,2,F,T,F,F,F,F,T,,N,N,,
437,0,2,F,T,F,F,F,F,T,,N,N,,
438,12,2,F,T,F,F,T,F,F,,N,N,,
439,1,2,F,T,F,F,F,F,T,,N,N,,
440,1,2,F,T,F,F,F,F,T,,N,N,,
441,0,2,F,T,F,F,F,F,T,,N,N,,
442,2,2,F,T,F,F,F,F,T,,N,N,,
443,0,2,F,T,F,F,F,F,T,,N,N,,
445,33,2,F,T,F,F,F,T,F,,N,Y,,
446,4,2,F,T,F,F,F,F,T,,N,N,,
447,23,2,F,T,F,F,T,F,F,,N,N,,
448,11,2,F,T,F,F,T,F,F,,N,N,,
449,0,2,F,T,F,F,F,F,T,,N,N,,
450,1,2,F,T,F,F,F,F,T,,N,N,,
451,10,2,F,T,F,F,T,F,F,,N,N,,
452,24,2,F,T,F,F,T,F,F,,N,N,,
453,1,2,F,T,F,F,F,F,T,,N,N,,
454,34,2,F,T,F,F,T,F,F,,N,N,,
455,0,2,F,T,F,F,F,F,T,,N,N,,
456,0,2,F,T,F,F,F,F,T,,N,N,,
459,57,2,F,T,F,F,F,T,F,,N,Y,,
465,0,2,F,T,F,F,F,T,F,,N,Y,,
466,45,2,F,T,F,F,F,T,F,,N,Y,,
467,24,2,F,T,F,F,T,F,F,,N,N,,
468,11,2,F,T,F,F,T,F,F,,N,N,,
469,50,2,F,T,F,F,F,T,F,,N,Y,,
483,2,2,F,T,F,F,F,F,T,,N,N,,
484,10,2,F,T,F,F,F,F,T,,N,N,,
508,1,2,F,T,F,F,F,F,T,,N,N,,
511,0,2,F,T,F,F,F,T,F,,N,Y,,
529,27,2,F,T,F,F,T,F,F,,N,N,,
531,2,2,F,T,F,F,F,F,T,,N,N,,
532,0,2,F,T,F,F,F,F,T,,N,N,,
533,15,2,F,T,F,F,F,T,F,,N,Y,,
534,0,2,F,T,F,F,F,F,T,,N,N,,
535,0,2,F,T,F,F,F,F,T,,N,N,,
540,0,2,F,T,F,F,F,F,T,,N,N,,
541,0,2,F,T,F,F,F,F,T,,N,N,,
547,2,2,F,T,F,F,F,F,T,,N,N,,
548,0,2,F,T,F,F,F,F,T,,N,N,,
549,1,2,F,T,F,F,F,F,T,,N,N,,
551,20,2,F,T,F,F,F,T,F,,N,Y,,
552,100,2,F,T,F,F,F,T,F,,N,Y,,
553,10,2,F,T,F,F,T,F,F,,N,N,,
554,25,2,F,T,F,F,F,T,F,,N,Y,,
555,5,2,F,T,F,F,F,F,T,,N,N,,
556,30,2,F,T,F,F,F,F,T,,N,N,,
557,0,2,F,T,F,F,F,F,T,,N,N,,
558,0,2,F,T,F,F,F,F,T,,N,N,,
559,8,2,F,T,F,F,F,T,F,,N,Y,,
560,13,2,F,T,F,F,F,T,F,,N,Y,,
561,3,2,F,T,F,F,T,F,F,,N,N,,
562,8,2,F,T,F,F,F,T,F,,N,Y,,
565,17,2,F,T,F,F,T,F,F,,N,N,,
566,30,2,F,T,F,F,F,T,F,,N,Y,,
568,0,2,F,T,F,F,F,F,T,,N,N,,
577,0,2,F,T,F,F,F,F,T,,N,N,,
579,1,2,F,T,F,F,F,F,T,,N,N,,
580,20,2,F,T,F,F,F,T,F,,N,Y,,
581,2,2,F,T,F,F,T,F,F,,N,N,,
582,32,2,F,T,F,F,F,T,F,,N,Y,,
583,21,2,F,T,F,F,T,F,F,,N,N,,
584,36,2,F,T,F,F,F,T,F,,N,Y,,
586,4,2,F,T,F,F,F,F,T,,N,N,,
587,22,2,F,T,F,F,F,T,F,,N,Y,,
588,16,2,F,T,F,F,T,F,F,,N,N,,
607,14,2,F,T,F,F,T,F,F,,N,N,,
608,0,2,F,T,F,F,F,F,T,,N,N,,
609,8,2,F,T,F,F,T,F,F,,N,N,,
616,20,2,F,T,F,F,F,T,F,,N,Y,,
620,79,2,F,T,F,F,T,F,F,,N,N,,
622,22,2,F,T,F,F,T,F,F,,N,N,,
623,18,2,F,T,F,F,F,T,F,,N,Y,,
624,28,2,F,T,F,F,F,T,F,,N,Y,,
625,17,2,F,T,F,F,T,F,F,,N,N,,
628,47,2,F,T,F,F,F,T,F,,N,Y,,
629,8,2,F,T,F,F,F,F,T,,N,N,,
631,4,2,F,T,F,F,F,F,T,,N,N,,
632,27,2,F,T,F,F,F,T,F,,N,Y,,
633,13,2,F,T,F,F,T,F,F,,N,N,,
634,0,2,F,T,F,F,F,F,T,,N,N,,
635,8,2,F,T,F,F,T,F,F,,N,N,,
636,2,2,F,T,F,F,F,F,T,,N,N,,
637,19,2,F,T,F,F,F,F,T,,N,N,,
638,4,2,F,T,F,F,F,F,T,,N,N,,
639,0,2,F,T,F,F,F,F,T,,N,N,,
640,0,2,F,T,F,F,F,T,F,,N,Y,,
644,2,2,F,T,F,F,T,F,F,,N,N,,
646,2,2,F,T,F,F,F,F,T,,N,N,,
647,13,2,F,T,F,F,T,F,F,,N,N,,
649,0,2,F,T,F,F,F,T,F,,N,Y,,
650,1,2,F,T,F,F,F,F,T,,N,N,,
651,1,2,F,T,F,F,F,F,T,,N,N,,
653,13,2,F,T,F,F,F,F,T,,N,N,,
654,12,2,F,T,F,F,T,F,F,,N,N,,
656,31,2,F,T,F,F,F,T,F,,N,Y,,
657,1,2,F,T,F,F,F,F,T,,N,N,,
659,0,2,F,T,F,F,F,T,F,,N,Y,,
663,2,2,F,T,F,F,T,F,F,,N,N,,
664,8,2,F,T,F,F,F,T,F,,N,Y,,
665,3,2,F,T,F,F,T,F,F,,N,N,,
666,31,2,F,T,F,F,F,T,F,,N,Y,,
668,1,2,F,T,F,F,F,F,T,,N,N,,
670,10,2,F,T,F,F,T,F,F,,N,N,,
673,0,2,F,T,F,F,F,T,F,,N,Y,,
675,3,2,F,T,F,F,F,F,T,,N,N,,
678,0,2,F,T,F,F,F,F,T,,N,N,,
679,10,2,F,T,F,F,T,F,F,,N,N,,
680,0,2,F,T,F,F,F,F,T,,N,N,,
681,3,2,F,T,F,F,F,T,F,,N,Y,,
682,6,2,F,T,F,F,F,F,T,,N,N,,
683,0,2,F,T,F,F,F,F,T,,N,N,,
684,26,2,F,T,F,F,T,F,F,,N,N,,
686,0,2,F,T,F,F,F,F,T,,N,N,,
688,0,2,F,T,F,F,F,F,T,,N,N,,
689,1,2,F,T,F,F,F,F,T,,N,N,,
690,0,2,F,T,F,F,F,F,T,,N,N,,
691,0,2,F,T,F,F,F,F,T,,N,N,,
692,0,2,F,T,F,F,F,F,T,,N,N,,
693,10,2,F,T,F,F,T,F,F,,N,N,,
694,6,2,F,T,F,F,F,F,T,,N,N,,
696,8,2,F,T,F,F,F,F,T,,N,N,,
697,26,2,F,T,F,F,F,F,T,,N,N,,
701,0,2,F,T,F,F,F,F,T,,N,N,,
702,23,2,F,T,F,F,T,F,F,,N,N,,
703,17,2,F,T,F,F,F,T,F,,N,Y,,
704,24,2,F,T,F,F,T,F,F,,N,N,,
705,45,2,F,T,F,F,F,T,F,,N,Y,,
706,15,2,F,T,F,F,T,F,F,,N,N,,
708,17,2,F,T,F,F,F,T,F,,N,Y,,
709,5,2,F,T,F,F,F,F,T,,N,N,,
710,9,2,F,T,F,F,T,F,F,,N,N,,
711,0,2,F,T,F,F,F,F,T,,N,N,,
712,0,2,F,T,F,F,F,F,T,,N,N,,
714,1,2,F,T,F,F,F,F,T,,N,N,,
715,3,2,F,T,F,F,T,F,F,,N,N,,
717,36,2,F,T,F,F,F,T,F,,N,Y,,
718,43,2,F,T,F,F,F,T,F,,N,Y,,
719,13,2,F,T,F,F,T,F,F,,N,N,,
720,35,2,F,T,F,F,T,F,F,,N,N,,
721,9,2,F,T,F,F,F,F,T,,N,N,,
722,1,2,F,T,F,F,F,F,T,,N,N,,
723,9,2,F,T,F,F,F,T,F,,N,Y,,
724,10,2,F,T,F,F,T,F,F,,N,N,,
725,2,2,F,T,F,F,F,F,T,,N,N,,
726,17,2,F,T,F,F,T,F,F,,N,N,,
727,10,2,F,T,F,F,F,T,F,,N,Y,,
729,11,2,F,T,F,F,F,F,T,,N,N,,
731,6,2,F,T,F,F,F,F,T,,N,N,,
732,20,2,F,T,F,F,F,T,F,,N,Y,,
733,35,2,F,T,F,F,F,T,F,,N,Y,,
734,4,2,F,T,F,F,F,F,T,,N,N,,
736,0,2,F,T,F,F,F,F,T,,N,N,,
740,0,2,F,T,F,F,F,F,T,,N,N,,
741,19,2,F,T,F,F,T,F,F,,N,N,,
742,7,2,F,T,F,F,F,F,T,,N,N,,
743,0,2,F,T,F,F,F,F,T,,N,N,,
744,0,2,F,T,F,F,F,F,T,,N,N,,
745,2,2,F,T,F,F,T,F,F,,N,N,,
746,0,2,F,T,F,F,F,F,T,,N,N,,
748,20,2,F,T,F,F,F,F,T,,N,N,,
749,0,2,F,T,F,F,F,F,T,,N,N,,
753,1,2,F,T,F,F,F,F,T,,N,N,,
755,2,2,F,T,F,F,F,F,T,,N,N,,
756,0,2,F,T,F,F,F,F,T,,N,N,,
757,0,2,F,T,F,F,F,F,T,,N,N,,
759,2,2,F,T,F,F,F,F,T,,N,N,,
760,0,2,F,T,F,F,F,F,T,,N,N,,
761,10,2,F,T,F,F,F,T,F,,N,Y,,
762,0,2,F,T,F,F,F,F,T,,N,N,,
768,0,2,F,T,F,F,F,F,T,,N,N,,
769,3,2,F,T,F,F,F,F,T,,N,N,,
770,0,2,F,T,F,F,F,F,T,,N,N,,
771,22,2,F,T,F,F,F,F,T,,N,N,,
772,11,2,F,T,F,F,F,F,T,,N,N,,
773,1,2,F,T,F,F,F,F,T,,N,N,,
774,10,2,F,T,F,F,T,F,F,,N,N,,
776,28,2,F,T,F,F,F,T,F,,N,Y,,
777,5,2,F,T,F,F,F,F,T,,N,N,,
778,1,2,F,T,F,F,F,F,T,,N,N,,
779,0,2,F,T,F,F,F,F,T,,N,N,,
782,0,2,F,T,F,F,F,F,T,,N,N,,
783,0,2,F,T,F,F,F,F,T,,N,N,,
786,7,2,F,T,F,F,T,F,F,,N,N,,
787,11,2,F,T,F,F,F,T,F,,N,Y,,
788,1,2,F,T,F,F,F,F,T,,N,N,,
789,0,2,F,T,F,F,F,T,F,,N,Y,,
790,0,2,F,T,F,F,F,F,T,,N,N,,
791,11,2,F,T,F,F,T,F,F,,N,N,,
792,9,2,F,T,F,F,F,T,F,,N,Y,,
793,2,2,F,T,F,F,T,F,F,,N,N,,
794,6,2,F,T,F,F,F,T,F,,N,Y,,
795,3,2,F,T,F,F,F,F,T,,N,N,,
796,1,2,F,T,F,F,F,F,T,,N,N,,
798,1,2,F,T,F,F,F,F,T,,N,N,,
799,0,2,F,T,F,F,F,F,T,,N,N,,
801,21,2,F,T,F,F,T,F,F,,N,N,,
802,23,2,F,T,F,F,F,T,F,,N,Y,,
803,28,2,F,T,F,F,F,T,F,,N,Y,,
804,7,2,F,T,F,F,F,F,T,,N,N,,
805,1,2,F,T,F,F,F,F,T,,N,N,,
806,0,2,F,T,F,F,F,F,T,,N,N,,
809,0,2,F,T,F,F,F,F,T,,N,N,,
812,14,2,F,T,F,F,F,F,T,,N,N,,
813,12,2,F,T,F,F,F,F,T,,N,N,,
816,7,2,F,T,F,F,T,F,F,,N,N,,
817,2,2,F,T,F,F,F,T,F,,N,Y,,
818,18,2,F,T,F,F,T,F,F,,N,N,,
819,23,2,F,T,F,F,T,F,F,,N,N,,
820,3,2,F,T,F,F,F,F,T,,N,N,,
821,3,2,F,T,F,F,F,F,T,,N,N,,
822,8,2,F,T,F,F,T,F,F,,N,N,,
823,0,2,F,T,F,F,F,F,T,,N,N,,
824,1,2,F,T,F,F,F,F,T,,N,N,,
825,1,2,F,T,F,F,F,F,T,,N,N,,
826,0,2,F,T,F,F,F,F,T,,N,N,,
827,2,2,F,T,F,F,F,F,T,,N,N,,
835,0,2,F,T,F,F,F,T,F,,N,Y,,
837,47,2,F,T,F,F,F,T,F,,N,Y,,
838,52,2,F,T,F,F,F,T,F,,N,Y,,
839,14,2,F,T,F,F,T,F,F,,N,N,,
841,1,2,F,T,F,F,F,F,T,,N,N,,
842,36,2,F,T,F,F,T,F,F,,N,N,,
844,2,2,F,T,F,F,F,F,T,,N,N,,
845,3,2,F,T,F,F,F,T,F,,N,Y,,
846,5,2,F,T,F,F,F,T,F,,N,Y,,
847,1,2,F,T,F,F,T,F,F,,N,N,,
848,4,2,F,T,F,F,F,T,F,,N,Y,,
850,0,2,F,T,F,F,F,F,T,,N,N,,
851,5,2,F,T,F,F,T,F,F,,N,N,,
853,0,2,F,T,F,F,T,F,F,,N,N,,
856,8,2,F,T,F,F,T,F,F,,N,N,,
857,18,2,F,T,F,F,F,T,F,,N,Y,,
858,7,2,F,T,F,F,T,F,F,,N,N,,
859,8,2,F,T,F,F,F,T,F,,N,Y,,
860,6,2,F,T,F,F,F,T,F,,N,Y,,
861,36,2,F,T,F,F,F,T,F,,N,Y,,
862,6,2,F,T,F,F,F,T,F,,N,Y,,
863,16,2,F,T,F,F,T,F,F,,N,N,,
864,7,2,F,T,F,F,F,F,T,,N,N,,
865,32,2,F,T,F,F,F,T,F,,N,Y,,
866,6,2,F,T,F,F,F,T,F,,N,Y,,
867,54,2,F,T,F,F,F,T,F,,N,Y,,
868,1,2,F,T,F,F,F,F,T,,N,N,,
869,0,2,F,T,F,F,F,F,T,,N,N,,
871,0,2,F,T,F,F,F,F,T,,N,N,,
872,2,2,F,T,F,F,F,F,T,,N,N,,
873,1,2,F,T,F,F,F,F,T,,N,N,,
875,5,2,F,T,F,F,T,F,F,,N,N,,
876,7,2,F,T,F,F,T,F,F,,N,N,,
877,9,2,F,T,F,F,F,T,F,,N,Y,,
878,10,2,F,T,F,F,F,T,F,,N,Y,,
879,2,2,F,T,F,F,F,F,T,,N,N,,
880,96,2,F,T,F,F,F,T,F,,N,Y,,
882,0,2,F,T,F,F,F,F,T,,N,N,,
883,1,2,F,T,F,F,F,F,T,,N,N,,
884,0,2,F,T,F,F,F,F,T,,N,N,,
885,0,2,F,T,F,F,F,F,T,,N,N,,
887,0,2,F,T,F,F,F,F,T,,N,N,,
888,0,2,F,T,F,F,F,F,T,,N,N,,
892,0,2,F,T,F,F,F,F,T,,N,N,,
894,0,2,F,T,F,F,F,T,F,,N,Y,,
895,17,2,F,T,F,F,T,F,F,,N,N,,
896,3,2,F,T,F,F,F,T,F,,N,Y,,
897,0,2,F,T,F,F,T,F,F,,N,N,,
898,0,2,F,T,F,F,F,T,F,,N,Y,,
899,0,2,F,T,F,F,F,T,F,,N,Y,,
900,11,2,F,T,F,F,T,F,F,,N,N,,
901,19,2,F,T,F,F,F,T,F,,N,Y,,
902,1,2,F,T,F,F,F,F,T,,N,N,,
905,11,2,F,T,F,F,T,F,F,,N,N,,
906,108,2,F,T,F,F,F,T,F,,N,Y,,
907,93,2,F,T,F,F,F,T,F,,N,Y,,
908,0,2,F,T,F,F,F,F,T,,N,N,,
909,4,2,F,T,F,F,F,F,T,,N,N,,
910,8,2,F,T,F,F,T,F,F,,N,N,,
912,2,2,F,T,F,F,F,F,T,,N,N,,
913,1,2,F,T,F,F,F,F,T,,N,N,,
914,5,2,F,T,F,F,F,F,T,,N,N,,
915,0,2,F,T,F,F,F,F,T,,N,N,,
916,3,2,F,T,F,F,F,F,T,,N,N,,
917,105,2,F,T,F,F,F,T,F,,N,Y,,
918,67,2,F,T,F,F,T,F,F,,N,N,,
919,0,2,F,T,F,F,F,F,T,,N,N,,
920,1,2,F,T,F,F,T,F,F,,N,N,,
921,0,2,F,T,F,F,F,F,T,,N,N,,
922,0,2,F,T,F,F,T,F,F,,N,N,,
923,0,2,F,T,F,F,T,F,F,,N,N,,
924,25,2,F,T,F,F,F,T,F,,N,Y,,
925,5,2,F,T,F,F,T,F,F,,N,N,,
926,1,2,F,T,F,F,T,F,F,,N,N,,
927,9,2,F,T,F,F,T,F,F,,N,N,,
928,12,2,F,T,F,F,F,T,F,,N,Y,,
929,2,2,F,T,F,F,T,F,F,,N,N,,
931,4,2,F,T,F,F,T,F,F,,N,N,,
932,6,2,F,T,F,F,F,T,F,,N,Y,,
933,3,2,F,T,F,F,T,F,F,,N,N,,
934,12,2,F,T,F,F,F,T,F,,N,Y,,
935,0,2,F,T,F,F,F,F,T,,N,N,,
936,19,2,F,T,F,F,T,F,F,,N,N,,
937,65,2,F,T,F,F,F,T,F,,N,Y,,
938,0,2,F,T,F,F,F,F,T,,N,N,,
939,0,2,F,T,F,F,F,T,F,,N,Y,,
940,31,2,F,T,F,F,T,F,F,,N,N,,
941,0,2,F,T,F,F,T,F,F,,N,N,,
942,1,2,F,T,F,F,T,F,F,,N,N,,
943,4,2,F,T,F,F,T,F,F,,N,N,,
944,1,2,F,T,F,F,T,F,F,,N,N,,
946,0,2,F,T,F,F,F,F,T,,N,N,,
947,34,2,F,T,F,F,F,T,F,,N,Y,,
948,61,2,F,T,F,F,F,T,F,,N,Y,,
949,22,2,F,T,F,F,F,T,F,,N,Y,,
951,6,2,F,T,F,F,F,T,F,,N,Y,,
952,40,2,F,T,F,F,F,T,F,,N,Y,,
953,25,2,F,T,F,F,F,T,F,,N,Y,,
954,16,2,F,T,F,F,F,T,F,,N,Y,,
956,7,2,F,T,F,F,F,T,F,,N,Y,,
957,9,2,F,T,F,F,T,F,F,,N,N,,
958,7,2,F,T,F,F,T,F,F,,N,N,,
959,1,2,F,T,F,F,T,F,F,,N,N,,
961,6,2,F,T,F,F,T,F,F,,N,N,,
962,8,2,F,T,F,F,T,F,F,,N,N,,
963,3,2,F,T,F,F,T,F,F,,N,N,,
964,1,2,F,T,F,F,T,F,F,,N,N,,
966,5,2,F,T,F,F,T,F,F,,N,N,,
967,12,2,F,T,F,F,F,T,F,,N,Y,,
968,39,2,F,T,F,F,F,T,F,,N,Y,,
969,8,2,F,T,F,F,F,T,F,,N,Y,,
971,33,2,F,T,F,F,F,T,F,,N,Y,,
972,23,2,F,T,F,F,F,T,F,,N,Y,,
973,46,2,F,T,F,F,F,T,F,,N,Y,,
974,18,2,F,T,F,F,F,T,F,,N,Y,,
975,15,2,F,T,F,F,F,T,F,,N,Y,,
977,32,2,F,T,F,F,T,F,F,,N,N,,
978,7,2,F,T,F,F,T,F,F,,N,N,,
979,1,2,F,T,F,F,T,F,F,,N,N,,
981,1,2,F,T,F,F,T,F,F,,N,N,,
982,104,2,F,T,F,F,F,T,F,,N,Y,,
983,32,2,F,T,F,F,F,T,F,,N,Y,,
984,3,2,F,T,F,F,F,T,F,,N,Y,,
986,2,2,F,T,F,F,F,T,F,,N,Y,,
987,31,2,F,T,F,F,T,F,F,,N,N,,
988,6,2,F,T,F,F,T,F,F,,N,N,,
989,1,2,F,T,F,F,T,F,F,,N,N,,
991,2,2,F,T,F,F,T,F,F,,N,N,,
992,1,2,F,T,F,F,F,F,T,,N,N,,
993,3,2,F,T,F,F,F,F,T,,N,N,,
994,57,2,F,T,F,F,F,F,T,,N,N,,
995,2,2,F,T,F,F,F,F,T,,N,N,,
996,4,2,F,T,F,F,F,F,T,,N,N,,
997,0,2,F,T,F,F,F,F,T,,N,N,,
998,1,2,F,T,F,F,F,F,T,,N,N,,
999,0,2,F,T,F,F,F,F,T,,N,N,,
1001,1,2,F,T,F,F,F,F,T,,N,N,,
1002,1,2,F,T,F,F,F,F,T,,N,N,,
1003,2,2,F,T,F,F,F,F,T,,N,N,,
1004,15,2,F,T,F,F,T,F,F,,N,N,,
1006,2,2,F,T,F,F,F,F,T,,N,N,,
1007,0,2,F,T,F,F,T,F,F,,N,N,,
1008,6,2,F,T,F,F,F,T,F,,N,Y,,
1009,4,2,F,T,F,F,F,T,F,,N,Y,,
1010,1,2,F,T,F,F,T,F,F,,N,N,,
1011,1,2,F,T,F,F,T,F,F,,N,N,,
1012,5,2,F,T,F,F,F,T,F,,N,Y,,
1013,2,2,F,T,F,F,F,T,F,,N,Y,,
1014,2,2,F,T,F,F,T,F,F,,N,N,,
1015,1,2,F,T,F,F,F,T,F,,N,Y,,
1016,1,2,F,T,F,F,T,F,F,,N,N,,
1017,2,2,F,T,F,F,F,F,T,,N,N,,
1018,0,2,F,T,F,F,F,F,T,,N,N,,
1019,5,2,F,T,F,F,F,F,T,,N,N,,
1020,1,2,F,T,F,F,F,F,T,,N,N,,
1021,0,2,F,T,F,F,F,F,T,,N,N,,
1022,19,2,F,T,F,F,F,F,T,,N,N,,
1023,13,2,F,T,F,F,F,F,T,,N,N,,
1024,0,2,F,T,F,F,F,F,T,,N,N,,
1025,27,2,F,T,F,F,F,T,F,,N,Y,,
1026,16,2,F,T,F,F,T,F,F,,N,N,,
1027,57,2,F,T,F,F,F,T,F,,N,Y,,
1028,0,2,F,T,F,F,F,F,T,,N,N,,
1029,12,2,F,T,F,F,F,T,F,,N,Y,,
1030,28,2,F,T,F,F,T,F,F,,N,N,,
1031,13,2,F,T,F,F,F,T,F,,N,Y,,
1032,15,2,F,T,F,F,F,T,F,,N,Y,,
1033,0,2,F,T,F,F,F,F,T,,N,N,,
1034,18,2,F,T,F,F,T,F,F,,N,N,,
1035,1,2,F,T,F,F,F,F,T,,N,N,,
1036,69,2,F,T,F,F,F,T,F,,N,Y,,
1037,40,2,F,T,F,F,F,T,F,,N,Y,,
1038,73,2,F,T,F,F,F,T,F,,N,Y,,
1039,15,2,F,T,F,F,T,F,F,,N,N,,
1040,21,2,F,T,F,F,T,F,F,,N,N,,
1041,21,2,F,T,F,F,T,F,F,,N,N,,
1042,3,2,F,T,F,F,T,F,F,,N,N,,
1043,78,2,F,T,F,F,F,T,F,,N,Y,,
1044,12,2,F,T,F,F,T,F,F,,N,N,,
1045,2,2,F,T,F,F,F,F,T,,N,N,,
1047,2,2,F,T,F,F,F,T,F,,N,Y,,
1048,26,2,F,T,F,F,F,F,T,,N,N,,
1049,0,2,F,T,F,F,F,F,T,,N,N,,
1050,24,2,F,T,F,F,F,F,T,,N,N,,
1051,7,2,F,T,F,F,F,T,F,,N,Y,,
1052,21,2,F,T,F,F,F,T,F,,N,Y,,
1053,7,2,F,T,F,F,F,F,T,,N,N,,
1054,0,2,F,T,F,F,F,F,T,,N,N,,
1055,3,2,F,T,F,F,F,F,T,,N,N,,
1056,1,2,F,T,F,F,F,T,F,,N,Y,,
1057,4,2,F,T,F,F,F,F,T,,N,N,,
1058,8,2,F,T,F,F,F,F,T,,N,N,,
1059,4,2,F,T,F,F,F,F,T,,N,N,,
1060,1,2,F,T,F,F,F,F,T,,N,N,,
1061,0,2,F,T,F,F,F,T,F,,N,Y,,
1062,0,2,F,T,F,F,F,F,T,,N,N,,
1063,14,2,F,T,F,F,F,F,T,,N,N,,
1064,11,2,F,T,F,F,F,F,T,,N,N,,
1065,1,2,F,T,F,F,F,F,T,,N,N,,
1066,6,2,F,T,F,F,F,F,T,,N,N,,
1067,13,2,F,T,F,F,F,F,T,,N,N,,
1068,2,2,F,T,F,F,F,T,F,,N,Y,,
1069,11,2,F,T,F,F,F,T,F,,N,Y,,
1070,2,2,F,T,F,F,F,F,T,,N,N,,
1071,1,2,F,T,F,F,F,F,T,,N,N,,
1072,2,2,F,T,F,F,F,T,F,,N,Y,,
1073,3,2,F,T,F,F,F,F,T,,N,N,,
1074,2,2,F,T,F,F,F,T,F,,N,Y,,
1075,1,2,F,T,F,F,F,T,F,,N,Y,,
1076,0,2,F,T,F,F,F,F,T,,N,N,,
1077,2,2,F,T,F,F,F,F,T,,N,N,,
1078,0,2,F,T,F,F,F,F,T,,N,N,,
1079,0,2,F,T,F,F,F,F,T,,N,N,,
1080,0,2,F,T,F,F,F,F,T,,N,N,,
1081,0,2,F,T,F,F,F,F,T,,N,N,,
1082,1,2,F,T,F,F,F,F,T,,N,N,,
1083,33,2,F,T,F,F,F,F,T,,N,N,,
1084,2,2,F,T,F,F,F,F,T,,N,N,,
1085,5,2,F,T,F,F,F,T,F,,N,Y,,
1086,0,2,F,T,F,F,F,F,T,,N,N,,
1087,5,2,F,T,F,F,F,T,F,,N,Y,,
1088,3,2,F,T,F,F,F,F,T,,N,N,,
1089,5,2,F,T,F,F,F,T,F,,N,Y,,
1090,2,2,F,T,F,F,F,F,T,,N,N,,
1091,15,2,F,T,F,F,F,F,T,,N,N,,
1092,0,2,F,T,F,F,F,T,F,,N,Y,,
1093,1,2,F,T,F,F,F,F,T,,N,N,,
1094,2,2,F,T,F,F,F,T,F,,N,Y,,
1095,2,2,F,T,F,F,F,F,T,,N,N,,
1096,4,2,F,T,F,F,F,T,F,,N,Y,,
1097,3,2,F,T,F,F,F,F,T,,N,N,,
1098,2,2,F,T,F,F,F,F,T,,N,N,,
1099,0,2,F,T,F,F,F,F,T,,N,N,,
1100,1,2,F,T,F,F,F,F,T,,N,N,,
1101,7,2,F,T,F,F,F,T,F,,N,Y,,
1102,1,2,F,T,F,F,F,F,T,,N,N,,
1103,1,2,F,T,F,F,F,F,T,,N,N,,
1104,1,2,F,T,F,F,F,F,T,,N,N,,
1105,1,2,F,T,F,F,F,F,T,,N,N,,
1106,2,2,F,T,F,F,F,F,T,,N,N,,
1107,11,2,F,T,F,F,F,F,T,,N,N,,
1108,2,2,F,T,F,F,F,F,T,,N,N,,
1109,1,2,F,T,F,F,F,T,F,,N,Y,,
1110,2,2,F,T,F,F,F,F,T,,N,N,,
1111,2,2,F,T,F,F,F,T,F,,N,Y,,
1112,2,2,F,T,F,F,F,F,T,,N,N,,
1113,1,2,F,T,F,F,F,T,F,,N,Y,,
1114,8,2,F,T,F,F,F,F,T,,N,N,,
1115,2,2,F,T,F,F,F,T,F,,N,Y,,
1116,2,2,F,T,F,F,F,T,F,,N,Y,,
1117,1,2,F,T,F,F,F,F,T,,N,N,,
1118,3,2,F,T,F,F,F,T,F,,N,Y,,
1119,3,2,F,T,F,F,F,T,F,,N,Y,,
1120,10,2,F,T,F,F,F,F,T,,N,N,,
1121,39,2,F,T,F,F,F,F,T,,N,N,,
1122,17,2,F,T,F,F,F,F,T,,N,N,,
1123,2,2,F,T,F,F,F,F,T,,N,N,,
1124,0,2,F,T,F,F,F,F,T,,N,N,,
1125,0,2,F,T,F,F,F,F,T,,N,N,,
1126,0,2,F,T,F,F,F,T,F,,N,Y,,
1127,0,2,F,T,F,F,F,F,T,,N,N,,
1128,0,2,F,T,F,F,F,F,T,,N,N,,
1129,0,2,F,T,F,F,F,T,F,,N,Y,,
1130,0,2,F,T,F,F,F,F,T,,N,N,,
1131,0,2,F,T,F,F,F,T,F,,N,Y,,
1132,0,2,F,T,F,F,F,F,T,,N,N,,
1133,0,2,F,T,F,F,F,F,T,,N,N,,
1134,0,2,F,T,F,F,F,F,T,,N,N,,
1135,0,2,F,T,F,F,F,F,T,,N,N,,
1136,0,2,F,T,F,F,F,T,F,,N,Y,,
1137,0,2,F,T,F,F,F,F,T,,N,N,,
1138,0,2,F,T,F,F,F,F,T,,N,N,,
1139,0,2,F,T,F,F,F,T,F,,N,Y,,
1140,0,2,F,T,F,F,F,T,F,,N,Y,,
1141,0,2,F,T,F,F,F,F,T,,N,N,,
1142,0,2,F,T,F,F,F,F,T,,N,N,,
