max_score,sampled_at,user_id
5077.09766953,2014-10-21 00:00:00,4134
5077.08564095,2014-10-21 00:00:00,689
5077.02374076,2014-10-21 00:00:00,3737
5076.5630339,2014-10-21 00:00:00,3168
5075.75220672,2014-10-21 00:00:00,5403
5075.71104875,2014-10-21 00:00:00,9425
5075.55446952,2014-10-09 00:00:00,9156
5074.89523849,2014-10-21 00:00:00,3835
5074.60573703,2014-10-21 00:00:00,4273
5074.5435748,2014-10-09 00:00:00,497
5074.51620001,2014-11-06 00:00:00,8984
5074.35648306,2014-10-21 00:00:00,5170
5074.05772642,2014-10-21 00:00:00,3390
5073.93838017,2014-10-09 00:00:00,9438
5073.78846714,2014-10-21 00:00:00,615
5073.57597961,2014-10-09 00:00:00,148
5073.44048021,2014-10-21 00:00:00,6122
5073.44046643,2014-10-21 00:00:00,5824
5073.33225361,2014-10-21 00:00:00,5890
5073.32751226,2014-10-21 00:00:00,5376
5073.23303051,2014-10-21 00:00:00,5855
5073.16740873,2014-10-09 00:00:00,9767
5072.95944202,2014-10-09 00:00:00,2031
5072.69286813,2014-10-09 00:00:00,699
5072.37681635,2014-10-21 00:00:00,4356
5072.2794501,2014-10-21 00:00:00,970
5072.18504652,2014-10-21 00:00:00,4922
5071.54580268,2014-10-21 00:00:00,9498
5071.51709697,2014-10-10 00:00:00,743
5071.32979744,2014-10-15 00:00:00,2259
5071.32490533,2014-10-21 00:00:00,6227
5071.32490533,2014-10-21 00:00:00,5865
5071.32490533,2014-10-21 00:00:00,5810
5071.32490533,2014-10-21 00:00:00,6195
5071.23471966,2014-10-13 00:00:00,4912
5070.82974816,2014-10-09 00:00:00,1324
5070.75982962,2014-10-09 00:00:00,9146
5070.4938448,2014-10-21 00:00:00,3694
5070.49382315,2014-10-21 00:00:00,3690
5070.49066576,2014-10-10 00:00:00,2199
5070.36470362,2014-10-11 00:00:00,9591
5070.32870025,2014-10-21 00:00:00,3558
5070.21260132,2014-10-15 00:00:00,8978
5070.10617105,2014-10-09 00:00:00,752
5069.60603823,2014-10-21 00:00:00,5793
5069.46402574,2014-10-21 00:00:00,6001
5069.39527833,2014-10-09 00:00:00,9271
5069.29993105,2014-10-21 00:00:00,5922
5069.26951852,2014-10-09 00:00:00,569
5069.26466899,2014-10-21 00:00:00,4453
5069.02438964,2014-10-21 00:00:00,5825
5068.92664568,2014-10-21 00:00:00,3797
5068.79088024,2014-10-21 00:00:00,3453
5068.76015507,2014-10-21 00:00:00,4138
5068.74436508,2014-10-21 00:00:00,3827
5068.41658521,2014-10-09 00:00:00,9314
5067.88314105,2014-10-21 00:00:00,5264
5067.20200054,2014-10-21 00:00:00,2105
5067.07712958,2014-10-21 00:00:00,463
5067.03620987,2014-10-21 00:00:00,5226
5066.72226592,2014-10-21 00:00:00,6241
5066.57505461,2014-10-21 00:00:00,6089
5066.25810832,2014-10-21 00:00:00,4324
5066.17963811,2014-10-21 00:00:00,2527
5066.1290624,2014-10-21 00:00:00,3942
5066.02018595,2014-10-21 00:00:00,5165
5065.63737574,2014-10-21 00:00:00,3683
5065.56924974,2014-10-21 00:00:00,5048
5065.23502965,2014-10-21 00:00:00,4808
5064.87216806,2014-10-09 00:00:00,2265
5064.85259663,2014-10-09 00:00:00,1431
5064.78455162,2014-10-16 00:00:00,9557
5064.60369672,2014-10-16 00:00:00,9561
5064.38562444,2014-10-21 00:00:00,3555
5064.38561898,2014-10-21 00:00:00,6367
5064.36988511,2014-10-21 00:00:00,5359
5064.36988511,2014-10-21 00:00:00,6265
5064.36987031,2014-10-21 00:00:00,5440
5064.36987031,2014-10-21 00:00:00,6406
5064.36987031,2014-10-21 00:00:00,5560
5064.36987031,2014-10-21 00:00:00,5584
5064.36987031,2014-10-21 00:00:00,5638
5064.36987031,2014-10-21 00:00:00,5815
5064.36987031,2014-10-21 00:00:00,5832
5064.36987031,2014-10-21 00:00:00,6120
5064.36987031,2014-10-21 00:00:00,5821
5064.3698629,2014-10-21 00:00:00,5343
5064.3698629,2014-10-21 00:00:00,6268
5064.3698629,2014-10-21 00:00:00,5548
5064.3698629,2014-10-21 00:00:00,6585
5064.3698629,2014-10-21 00:00:00,5618
5064.3698629,2014-10-21 00:00:00,6002
5064.3698629,2014-10-21 00:00:00,6075
5064.21662321,2014-10-21 00:00:00,6240
5064.14939133,2014-10-21 00:00:00,2796
5063.91631603,2014-10-21 00:00:00,3733
