quest_id,created_at,trade_id
420,1/30/2015,1
420,2/2/2015,1
629,8/17/2014,1
629,8/15/2014,1
629,8/14/2014,1
420,2/9/2015,1
1027,11/18/2014,1
420,2/17/2015,1
420,2/27/2015,1
420,2/28/2015,1
1027,11/5/2014,1
421,5/29/2014,1
421,5/30/2014,1
421,6/3/2014,1
629,8/13/2014,1
629,8/3/2014,1
629,7/23/2014,1
421,6/23/2014,1
1027,11/2/2014,1
421,7/9/2014,1
629,7/21/2014,1
629,7/15/2014,1
421,7/31/2014,1
1027,10/31/2014,1
95,7/25/2014,1
421,8/10/2014,1
629,7/13/2014,1
421,8/13/2014,1
421,8/19/2014,1
421,8/21/2014,1
421,8/28/2014,1
421,9/16/2014,1
421,11/18/2014,1
421,11/25/2014,1
629,6/25/2014,1
421,11/27/2014,1
421,12/11/2014,1
421,1/13/2015,1
421,1/14/2015,1
629,6/23/2014,1
421,2/6/2015,1
422,3/31/2014,1
422,4/3/2014,1
422,4/8/2014,1
422,5/27/2014,1
1026,3/6/2015,1
422,5/31/2014,1
1026,2/28/2015,1
629,6/11/2014,1
629,6/7/2014,1
95,8/6/2014,1
629,6/4/2014,1
629,6/2/2014,1
1026,2/27/2015,1
629,6/1/2014,1
422,7/25/2014,1
629,5/27/2014,1
629,5/22/2014,1
422,10/16/2014,1
422,11/10/2014,1
1163,3/5/2015,1
422,12/5/2014,1
95,10/13/2014,1
629,5/21/2014,1
629,5/15/2014,1
422,12/9/2014,1
422,12/13/2014,1
629,5/12/2014,1
422,12/17/2014,1
1163,2/9/2015,1
629,5/11/2014,1
628,1/5/2015,1
422,1/6/2015,1
422,1/8/2015,1
423,3/31/2014,1
423,4/3/2014,1
96,12/8/2013,1
423,5/4/2014,1
628,12/15/2014,1
628,12/13/2014,1
423,5/31/2014,1
423,6/2/2014,1
628,12/5/2014,1
628,12/3/2014,1
628,7/25/2014,1
628,6/11/2014,1
628,6/4/2014,1
628,5/12/2014,1
423,6/21/2014,1
625,1/5/2015,1
424,3/31/2014,1
1163,2/6/2015,1
1026,2/20/2015,1
96,1/16/2014,1
424,6/10/2014,1
625,12/30/2014,1
625,12/9/2014,1
625,12/1/2014,1
625,11/26/2014,1
625,11/18/2014,1
625,11/15/2014,1
625,9/29/2014,1
424,7/9/2014,1
424,7/11/2014,1
424,7/15/2014,1
96,1/17/2014,1
625,9/14/2014,1
424,7/20/2014,1
96,2/20/2014,1
424,7/23/2014,1
1163,2/4/2015,1
424,7/30/2014,1
625,8/30/2014,1
424,8/10/2014,1
625,8/18/2014,1
424,8/17/2014,1
424,9/9/2014,1
424,11/24/2014,1
424,11/25/2014,1
625,8/16/2014,1
424,1/13/2015,1
424,1/30/2015,1
1228,2/27/2015,1
625,8/13/2014,1
625,8/10/2014,1
625,8/7/2014,1
625,7/10/2014,1
625,7/9/2014,1
625,6/16/2014,1
625,6/15/2014,1
425,7/5/2014,1
425,7/9/2014,1
625,6/14/2014,1
1026,2/18/2015,1
425,7/14/2014,1
425,7/17/2014,1
425,7/20/2014,1
625,6/2/2014,1
625,5/27/2014,1
625,5/9/2014,1
425,7/25/2014,1
425,7/26/2014,1
624,1/7/2015,1
624,12/17/2014,1
425,7/30/2014,1
425,7/31/2014,1
624,12/13/2014,1
425,8/7/2014,1
425,8/10/2014,1
624,12/10/2014,1
425,8/13/2014,1
624,12/3/2014,1
624,12/1/2014,1
96,4/11/2014,1
624,11/17/2014,1
425,8/24/2014,1
425,8/25/2014,1
96,5/27/2014,1
425,8/27/2014,1
1026,2/7/2015,1
1026,2/4/2015,1
425,8/30/2014,1
425,9/4/2014,1
425,9/10/2014,1
1026,1/12/2015,1
425,9/14/2014,1
96,6/8/2014,1
425,9/28/2014,1
1026,1/9/2015,1
425,10/13/2014,1
425,10/30/2014,1
624,11/9/2014,1
624,11/7/2014,1
624,10/15/2014,1
96,6/11/2014,1
425,11/17/2014,1
425,12/7/2014,1
425,12/9/2014,1
624,10/9/2014,1
425,12/14/2014,1
624,10/7/2014,1
624,10/3/2014,1
425,12/30/2014,1
1026,1/4/2015,1
426,4/3/2014,1
426,5/27/2014,1
624,9/28/2014,1
624,9/21/2014,1
1026,1/3/2015,1
624,9/16/2014,1
426,6/13/2014,1
624,9/8/2014,1
624,9/2/2014,1
1026,12/24/2014,1
426,7/16/2014,1
624,8/27/2014,1
426,7/25/2014,1
624,8/21/2014,1
426,8/6/2014,1
624,8/16/2014,1
426,8/13/2014,1
426,8/18/2014,1
426,9/29/2014,1
426,10/13/2014,1
426,10/16/2014,1
426,11/10/2014,1
426,11/22/2014,1
426,12/3/2014,1
1026,12/15/2014,1
426,12/5/2014,1
96,7/7/2014,1
96,7/9/2014,1
624,8/10/2014,1
624,8/7/2014,1
624,7/31/2014,1
1026,12/10/2014,1
96,7/25/2014,1
426,12/14/2014,1
426,12/17/2014,1
427,4/16/2014,1
427,5/30/2014,1
427,6/4/2014,1
427,6/7/2014,1
1026,12/6/2014,1
1026,12/3/2014,1
96,8/6/2014,1
624,7/25/2014,1
427,6/24/2014,1
427,7/6/2014,1
427,7/9/2014,1
624,7/24/2014,1
1026,11/29/2014,1
624,7/23/2014,1
427,8/10/2014,1
624,7/20/2014,1
427,8/13/2014,1
427,8/16/2014,1
427,9/9/2014,1
427,9/11/2014,1
96,8/13/2014,1
624,7/17/2014,1
427,1/13/2015,1
427,1/14/2015,1
96,8/28/2014,1
96,9/1/2014,1
96,9/2/2014,1
624,7/1/2014,1
428,6/4/2014,1
1026,11/25/2014,1
624,6/28/2014,1
624,6/24/2014,1
624,6/23/2014,1
624,6/22/2014,1
428,6/22/2014,1
96,10/5/2014,1
428,6/26/2014,1
428,7/8/2014,1
96,10/6/2014,1
96,10/13/2014,1
428,7/14/2014,1
97,1/10/2014,1
624,6/18/2014,1
428,7/23/2014,1
428,7/25/2014,1
1163,1/21/2015,1
1163,1/19/2015,1
624,6/7/2014,1
428,8/6/2014,1
428,8/8/2014,1
624,6/4/2014,1
428,8/13/2014,1
428,9/3/2014,1
97,4/23/2014,1
623,3/4/2015,1
428,11/10/2014,1
428,12/1/2014,1
428,12/7/2014,1
428,12/8/2014,1
428,12/9/2014,1
428,12/11/2014,1
428,12/14/2014,1
97,5/30/2014,1
428,12/28/2014,1
428,12/29/2014,1
428,1/5/2015,1
429,3/31/2014,1
623,3/3/2015,1
623,2/21/2015,1
17,12/5/2013,1
1026,11/20/2014,1
429,4/7/2014,1
429,4/8/2014,1
429,4/9/2014,1
623,2/20/2015,1
623,2/14/2015,1
623,2/12/2015,1
623,2/9/2015,1
429,4/16/2014,1
97,6/8/2014,1
1026,11/19/2014,1
623,2/2/2015,1
430,6/3/2014,1
430,6/6/2014,1
623,1/29/2015,1
430,6/13/2014,1
623,1/14/2015,1
623,1/9/2015,1
97,6/11/2014,1
623,12/9/2014,1
431,4/1/2014,1
431,4/7/2014,1
431,5/15/2014,1
97,6/13/2014,1
623,12/4/2014,1
623,12/1/2014,1
623,11/26/2014,1
4,7/5/2014,1
1026,11/17/2014,1
1026,11/11/2014,1
431,7/15/2014,1
97,6/21/2014,1
623,10/17/2014,1
431,7/23/2014,1
431,7/24/2014,1
97,6/22/2014,1
623,9/5/2014,1
431,8/6/2014,1
623,8/31/2014,1
431,8/13/2014,1
431,8/15/2014,1
431,8/16/2014,1
431,8/17/2014,1
431,8/18/2014,1
431,8/20/2014,1
1026,11/5/2014,1
431,8/22/2014,1
431,9/10/2014,1
431,9/18/2014,1
431,11/16/2014,1
431,11/24/2014,1
1026,10/30/2014,1
623,8/10/2014,1
432,4/8/2014,1
623,7/29/2014,1
97,7/25/2014,1
432,6/4/2014,1
432,6/5/2014,1
432,6/6/2014,1
623,6/26/2014,1
432,6/13/2014,1
623,6/13/2014,1
623,6/6/2014,1
623,5/28/2014,1
1026,10/24/2014,1
622,3/16/2015,1
1026,10/21/2014,1
622,3/5/2015,1
432,7/10/2014,1
433,4/2/2014,1
622,2/15/2015,1
97,8/6/2014,1
1025,2/3/2015,1
622,1/31/2015,1
622,1/22/2015,1
622,1/11/2015,1
622,12/15/2014,1
4,7/10/2014,1
17,12/19/2013,1
622,12/10/2014,1
97,10/20/2014,1
434,4/7/2014,1
1025,1/27/2015,1
622,12/9/2014,1
622,12/8/2014,1
434,4/11/2014,1
434,4/12/2014,1
434,4/14/2014,1
434,4/16/2014,1
434,4/20/2014,1
434,4/22/2014,1
434,4/24/2014,1
434,4/25/2014,1
98,1/17/2014,1
98,1/28/2014,1
434,5/1/2014,1
98,4/4/2014,1
434,5/4/2014,1
622,12/6/2014,1
434,5/7/2014,1
434,5/17/2014,1
434,5/21/2014,1
434,5/22/2014,1
434,5/23/2014,1
434,5/24/2014,1
622,11/10/2014,1
622,11/8/2014,1
622,8/29/2014,1
434,6/1/2014,1
622,8/16/2014,1
434,6/5/2014,1
622,8/13/2014,1
434,6/8/2014,1
622,7/28/2014,1
622,7/23/2014,1
622,6/23/2014,1
98,5/27/2014,1
622,6/6/2014,1
434,6/18/2014,1
622,6/3/2014,1
622,5/27/2014,1
622,5/11/2014,1
1025,1/26/2015,1
622,5/10/2014,1
621,6/2/2014,1
98,6/3/2014,1
434,6/26/2014,1
434,6/28/2014,1
434,6/29/2014,1
434,6/30/2014,1
621,5/15/2014,1
435,6/3/2014,1
435,6/6/2014,1
435,6/10/2014,1
1025,1/16/2015,1
435,6/20/2014,1
435,7/18/2014,1
620,3/3/2015,1
98,6/8/2014,1
435,8/5/2014,1
620,2/27/2015,1
1025,1/14/2015,1
17,12/24/2013,1
436,4/16/2014,1
436,4/21/2014,1
1163,1/16/2015,1
620,2/23/2015,1
436,6/6/2014,1
436,6/10/2014,1
620,2/11/2015,1
620,2/8/2015,1
620,2/2/2015,1
436,6/24/2014,1
436,7/5/2014,1
436,7/6/2014,1
620,1/29/2015,1
620,1/23/2015,1
436,8/7/2014,1
436,8/10/2014,1
620,1/13/2015,1
436,8/13/2014,1
1025,12/30/2014,1
436,11/19/2014,1
1025,12/28/2014,1
437,4/16/2014,1
437,5/7/2014,1
1025,12/17/2014,1
1025,12/14/2014,1
620,1/6/2015,1
620,12/29/2014,1
437,6/6/2014,1
620,12/22/2014,1
620,12/21/2014,1
98,7/9/2014,1
437,6/21/2014,1
437,6/22/2014,1
437,6/23/2014,1
437,7/2/2014,1
437,7/8/2014,1
620,12/14/2014,1
1025,12/13/2014,1
437,8/4/2014,1
620,12/12/2014,1
437,8/10/2014,1
620,12/10/2014,1
437,8/13/2014,1
437,8/15/2014,1
98,7/25/2014,1
437,8/21/2014,1
437,9/30/2014,1
437,11/18/2014,1
620,11/18/2014,1
1025,12/7/2014,1
620,11/12/2014,1
1025,11/6/2014,1
98,8/6/2014,1
620,11/9/2014,1
620,11/2/2014,1
438,6/21/2014,1
438,6/23/2014,1
620,10/30/2014,1
620,10/17/2014,1
438,8/7/2014,1
620,10/11/2014,1
438,9/28/2014,1
620,10/10/2014,1
620,8/31/2014,1
438,11/10/2014,1
438,11/11/2014,1
620,8/28/2014,1
620,8/20/2014,1
1025,11/2/2014,1
438,11/25/2014,1
438,11/26/2014,1
438,12/6/2014,1
438,12/7/2014,1
98,8/13/2014,1
620,8/7/2014,1
1024,2/8/2015,1
438,12/24/2014,1
620,7/25/2014,1
438,1/7/2015,1
620,6/14/2014,1
620,6/6/2014,1
439,6/3/2014,1
439,6/10/2014,1
620,6/3/2014,1
617,5/14/2014,1
617,5/10/2014,1
439,6/24/2014,1
439,7/11/2014,1
439,7/15/2014,1
439,7/18/2014,1
616,3/9/2015,1
439,7/29/2014,1
439,7/30/2014,1
18,12/19/2013,1
98,10/9/2014,1
616,3/8/2015,1
439,8/13/2014,1
439,12/11/2014,1
1024,1/13/2015,1
440,4/10/2014,1
440,4/16/2014,1
99,12/6/2013,1
440,6/3/2014,1
